Date,Device,Bin,Item,Disposals,Contaminants,Correct Bin
1/7/2025,uwisconsin_madison_oscarsort_1,Trash,plastic gloves,2,0,Trash
1/7/2025,uwisconsin_madison_oscarsort_2,Trash,apple core,1,0,Trash
1/7/2025,uwisconsin_madison_oscarsort_3,Trash,plastic wrap,1,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Recycling,tetrapack,1,1,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Recycling,wrapper,1,1,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Recycling,plastic cutlery,1,1,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Recycling,plastic bottle,1,0,Recycling
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,food box,5,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,napkin,10,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic bag,3,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic cutlery,1,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,wrapper,6,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic lid,2,2,Recycling
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic container,1,1,Recycling
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,coffee cup lid,3,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,coffee cup,3,0,Recycling
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic sauce cup,1,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic straw,1,0,Trash
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,plastic cup,1,1,Recycling
1/14/2025,uwisconsin_madison_oscarsort_1,Trash,coffee cup sleeve,1,1,Recycling
1/14/2025,uwisconsin_madison_oscarsort_3,Recycling,coffee cup lid,1,1,Trash
1/14/2025,uwisconsin_madison_oscarsort_3,Recycling,coffee cup,1,1,Recycling
1/14/2025,uwisconsin_madison_oscarsort_3,Recycling,wrapper,1,1,Trash
1/14/2025,uwisconsin_madison_oscarsort_3,Trash,plastic cup,2,2,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,paper wrapper,3,3,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,plastic wrap,2,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,plastic cutlery,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,napkin,10,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,food box,6,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,plastic straw,2,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,plastic lid,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,plastic cup,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,wrapper,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,paper,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,chopsticks,2,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,food scraps,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Trash,plastic container,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Recycling,food box,1,1,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Recycling,wrapper,1,1,Trash
1/16/2025,uwisconsin_madison_oscarsort_1,Recycling,plastic lid,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Recycling,plastic container,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_1,Recycling,aluminium can,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,wrapper,6,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,paper,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,aluminium can,2,2,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,plastic straw,2,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,soft plastic lid,2,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,paper pop cup,3,3,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,coffee cup,5,5,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,liquids,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_2,Trash,plastic bottle,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Recycling,napkin,2,2,Trash
1/16/2025,uwisconsin_madison_oscarsort_2,Recycling,paper,7,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Recycling,aluminium can,2,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_2,Recycling,paper pop cup,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Recycling,coffee cup sleeve,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Recycling,plastic lid,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Recycling,wrapper,1,1,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Recycling,aluminium can,1,0,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Recycling,napkin,1,1,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic wrap,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic container,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic cutlery,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,coffee cup,2,2,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic gloves,2,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,napkin,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,food box,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,coffee cup lid,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic straw,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,liquids,1,0,Trash
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic lid,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,plastic cup,1,1,Recycling
1/16/2025,uwisconsin_madison_oscarsort_4,Trash,paper bag,1,1,Recycling
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,napkin,23,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,food scraps,1,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,plastic container,5,5,Recycling
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,banana peel,1,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,liquids,1,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,plastic bottle,2,2,Recycling
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,food box,17,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,wrapper,7,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,plastic sauce cup,1,0,Trash
1/21/2025,uwisconsin_madison_oscarsort_1,Trash,plastic cutlery,5,0,Trash
