antecedents,consequents,support,confidence,lift
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'coffee cup lid'})",0.1,0.7777777777777779,3.202614379084968
frozenset({'waxed food paper'}),"frozenset({'plastic wrap', 'coffee cup'})",0.1,0.7777777777777779,3.0246913580246924
"frozenset({'plastic wrap', 'banana peel'})",frozenset({'liquids'}),0.10476190476190476,0.8148148148148149,2.71604938271605
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'food scraps'})",0.12380952380952381,0.7647058823529411,2.676470588235294
frozenset({'banana peel'}),"frozenset({'napkin', 'liquids'})",0.12380952380952381,0.7647058823529411,2.632594021215043
frozenset({'banana peel'}),"frozenset({'plastic lid', 'liquids'})",0.12380952380952381,0.7647058823529411,2.632594021215043
frozenset({'plastic bag'}),"frozenset({'food scraps', 'food box'})",0.14761904761904762,0.7560975609756098,2.6029588164734103
"frozenset({'plastic lid', 'banana peel'})",frozenset({'liquids'}),0.12380952380952381,0.7647058823529411,2.549019607843137
frozenset({'banana peel'}),frozenset({'liquids'}),0.12380952380952381,0.7647058823529411,2.549019607843137
"frozenset({'banana peel', 'napkin'})",frozenset({'liquids'}),0.12380952380952381,0.7647058823529411,2.549019607843137
"frozenset({'banana peel', 'plastic cup'})",frozenset({'liquids'}),0.11904761904761904,0.7575757575757576,2.5252525252525255
"frozenset({'plastic cutlery', 'banana peel'})",frozenset({'liquids'}),0.11904761904761904,0.7575757575757576,2.5252525252525255
"frozenset({'banana peel', 'wrapper'})",frozenset({'liquids'}),0.11904761904761904,0.7575757575757576,2.5252525252525255
"frozenset({'banana peel', 'plastic straw'})",frozenset({'liquids'}),0.11904761904761904,0.7575757575757576,2.5252525252525255
"frozenset({'coffee cup', 'waxed food paper'})",frozenset({'coffee cup lid'}),0.10476190476190476,1.0,2.413793103448276
"frozenset({'coffee cup sleeve', 'plastic sauce cup'})",frozenset({'coffee cup lid'}),0.1,1.0,2.413793103448276
"frozenset({'plastic bag', 'plastic cup'})",frozenset({'paper bag'}),0.13333333333333333,0.7567567567567567,2.4078624078624076
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'plastic straw'})",0.12380952380952381,0.7647058823529411,2.3968393327480246
"frozenset({'banana peel', 'coffee cup'})",frozenset({'paper bag'}),0.1,0.75,2.3863636363636362
"frozenset({'coffee cup sleeve', 'coffee cup'})",frozenset({'coffee cup lid'}),0.22380952380952382,0.9791666666666667,2.3635057471264367
"frozenset({'paper', 'coffee cup'})",frozenset({'coffee cup lid'}),0.17142857142857143,0.9729729729729729,2.3485554520037275
"frozenset({'coffee cup', 'plastic sauce cup'})",frozenset({'coffee cup lid'}),0.1619047619047619,0.9714285714285715,2.344827586206897
frozenset({'banana peel'}),"frozenset({'food scraps', 'coffee cup'})",0.12857142857142856,0.7941176470588234,2.3161764705882346
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'plastic container'})",0.12380952380952381,0.7647058823529411,2.2941176470588234
"frozenset({'coffee cup sleeve', 'food scraps'})",frozenset({'coffee cup lid'}),0.1761904761904762,0.9487179487179488,2.2900088417329796
"frozenset({'plastic wrap', 'coffee cup'})",frozenset({'coffee cup lid'}),0.24285714285714285,0.9444444444444445,2.2796934865900385
"frozenset({'coffee cup', 'plastic bag'})",frozenset({'coffee cup lid'}),0.14285714285714285,0.9374999999999999,2.262931034482758
